,medication,rate,comment,drug,illness
391,Simponi (golimumab) for Ulcerative Colitis,1.0,"I have UC, fibromyalgia, RA, Diabetes type 2, and many more health issues. 
 I've been on SIMPONI for about 4 months, my symptoms have become worse, chronic pain, intense swelling burning tingling hands and feet, BLOATED STOMACH that just won't deflate,l oss of appetite, I don't want to have the SIMPONI ANYMORE, I'M now worried, and scared, as  it's rejected my body ,I have just about had enough of the intense pain...I'm happy to hear good results from people it has worked for...",Simponi (golimumab) , Ulcerative Colitis
402,Simponi (golimumab) for Ulcerative Colitis,10.0,"I've  got UC started therapy with Simponi almost two years ago because I was a steroid-dependent, even if I generally felt well. The last colonoscopy, done 6 months ago, showed that I was in complete remission and luckily I still feel great. I haven't noticed any collateral effect, maybe I've just gained some weight, but probably I was underweight before (I am 1,63m tall, and my actual weight is 51,5kg).",Simponi (golimumab) , Ulcerative Colitis
403,Simponi (golimumab) for Ulcerative Colitis,10.0,Simponi has been a God send! Prior to starting Simponi I was unable to leave my home for any length of time. I had suffered for 2 years with UC and failed other treatments. My last C- scope in November 2020 was  the best of the last 4. ❤ If I had one suggestion it would be to package an alcohol swabs with each injection ( like Humira does).,Simponi (golimumab) , Ulcerative Colitis
408,Simponi (golimumab) for Ulcerative Colitis,1.0,"Been on Simponi for 3 months 5 tubes. I think I’ m worse than before. Bloating and going to toilet more often! I’ll give it another 3 months, but I can tell its not working. I know someone who also had no success with simponi, but might with Humira.",Simponi (golimumab) , Ulcerative Colitis
412,Simponi (golimumab) for Ulcerative Colitis,7.0,"Been on Simponi for over 10 years. It has worked miracles with my UC. Full remission.
Now I have major joint pain. It started about a year or so ago in my left thumb joint. Now the pain is in every joint except one shoulder all within the last 8 months.
I have no Idea what is going on but the pain from the joints is becoming greater by the day. The docs say age. I'm 62 and no history of RA in the family but who knows.",Simponi (golimumab) , Ulcerative Colitis
431,Simponi (golimumab) for Ulcerative Colitis,1.0,Simponi did nothing. Was actually better before I started!,Simponi (golimumab) , Ulcerative Colitis
435,Entyvio (vedolizumab) for Ulcerative Colitis,7.0,"I was diagnosed with Ulcerative Colitis (UC)  in 2003. I landed myself in the hospital during my initial diagnosis, for 1 month. Remicade saved me, but the side effects were awful. Stopped that and was in remission for 15 years. I had a flare in April 2020. I ended up in the hospital during this pandemic. Good times! Anyway, started taking prednisone and my gastro put me on Entyvio. I've had 3 infusions since May 2020 and I'm due for my next infusion in September, but I don't know if I can handle these side effects? My UC is under control, but at what cost? I just turned 40, I'm very active and would consider myself fairly fit/strong. I can barely walk after sitting for 5 minutes. My ankles swell up, my joints hurt to the bone. I'm so exhausted ALL THE TIME. I'm also a teacher and I will be starting back up with school in a few weeks. I cant imagine being on my feet all day. Does anyone else experience this level of joint pain on Entyvio? ",Entyvio (vedolizumab) , Ulcerative Colitis
436,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"Entyvio was prescribed for my 8yr old son who was diagnosed with UC a little over a year ago. We have tried mesalamine, Remicade, Humira, budesonide, enemas, prednisone, GAPS / SCD diet. Mesalamine helped for a very short time, as did prednisone. My son is a primary non responder to both Remicade and Humira. He’s been hospitalized twice since diagnosis and his UC became much worse over the last 6 months. He was given Entyvio off label as it’s not typically prescribed for children. So far it has been a miracle drug for my child. After his second infusion he is so so much better. He has energy, a good appetite, and much less frequency. We can actually leave the house again for longer than 30 minutes. His only side effect so far is chronic runny / stuffy nose. Though he had this with both Remicade and Humira. He also suffered horrible migraines with previous biologics. None so far with Entyvio.",Entyvio (vedolizumab) , Ulcerative Colitis
437,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,Entyvio has saved my life. Prior to being diagnosed with UC they were treating me for diverticulitis with antibiotics which made everything worse. I was out of work the entire month of October ‘18. My hair was falling out in blobs prior to Entyvio due to the malnutrition I was suffering because my intestines could not absorb nutrients from what little food I could eat and keep in my body and I lost 37 pounds in a month. After starting Entyvio I could eat food again and started taking Biotin and a multi-vitamin.  My hair stopped falling out and I have been on the road to recovery for the last 10 months.,Entyvio (vedolizumab) , Ulcerative Colitis
438,Entyvio (vedolizumab) for Ulcerative Colitis,3.0,"I was on a dual therapy of Entyvio and Xeljanz. I noticed slight hair shedding during the 3 loading doses of Entyvio. The day after the 4th dose, I started losing a TON of hair. Eight weeks later, I have lost almost 90% of my hair and am looking into hair extensions/wigs. I experienced hair loss with both Remicade and Humira, but not to this extent. Hair loss should be listed as a side effect. I am discontinuing Entyvio and am hoping it will be completely out of my system soon. Has anyone else experienced significant hair loss? When did it stop/grow back??",Entyvio (vedolizumab) , Ulcerative Colitis
439,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"I have suffers UC for 14 years. I have tried everything and it would work for a short while and then I flared-up again. Remicade gave me bad side effects. Stopped and tried good diets and natural means for a year. I had an infection and caused my UC to come back and I was very sick for few months. My doctor put me on Entyvio and it took three or four months  for the medicine to work. I have been taking it every four weeks for a year and now I feel excellent, I have not felt this good in years. 
For side effects I had once a terrible headache and sometimes it feels like a cold. I always lost a lot of hair with prednisone and after flares, I have my hair back now, gained weight and feel very strong.",Entyvio (vedolizumab) , Ulcerative Colitis
440,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"I’ve had UC for 37 years.I’ve been on Entyvio for 12 months. I chose to stop due to the debilitating side effects. I am in remission now, however the side effects are not worth it. After my first infusion I felt I was having a heart attack. The EMTs said my heart was fine but I was close to having a stroke. Cortisone injections eliminated this symptom. Over 8 treatments I developed severe bone and joint pain, some hair loss, major skin dryness and bruising, extreme fatigue, extreme chills and sweats, mouth sores constantly, 24/7 nausea and loss of appetite, some tremors, depression, boils appeared including around my eyes. I developed a serious eye infection after the 8th injection.The ophthalmologist said he’s only seen this type of eye infection in chemo patients .My olfactory senses became affected. Food started tasting different and fragrances seemed off. Entyvio did work but it’s clearly a toxic drug to where the quality of life is impacted severely in my case.",Entyvio (vedolizumab) , Ulcerative Colitis
441,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,30 years with ulcerative colitis. Tried it all even humira. Was on the verge of having my colon removed and dr suggested that I try entyvio. Had immediate results and after 6 months still symptom free. Been a miracle drug for me and changed my life around,Entyvio (vedolizumab) , Ulcerative Colitis
442,Entyvio (vedolizumab) for Crohn's Disease,10.0,"I've been dealing with Crohn's for 20+ years.  Through most I've been on oral meds such as Sulfasalizine, Imuran and Asacol.  These meds sort of controlled the symptoms but I still had flare ups.  Almost 2 years ago, I moved on to Entyvio.  Life has been so much better, as I don't have to plan my day where all the restrooms are along my sales route.  My colon actually had beautiful healthy pink tissue during my last colonoscopy.  I would recommend Entyvio to anyone with Crohn's to try before Remicade or Humira as Entyvio's side effects are less.",Entyvio (vedolizumab) , Crohn's Disease
443,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,I was diagnosed with UC in 2017. I tried several medications with only partial reduction in symptoms. I have been on Entyvio for about 1.5 years now and my results are much improved with no side effects. I don’t get tired after injections and think I get a cold about as frequently as before starting Entyvio. I still get the occasional minor flare where I have some urgency or have to make a few extra trips to the bathroom a day but all in all I am in a much better place. I hope I can continue to use Entyvio for a long time.,Entyvio (vedolizumab) , Ulcerative Colitis
444,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"I tried Entyvio after failing on Remicade for moderate to severe ulcerative colitis. The first time it seemed to help but had an insurance issue and had to go on Humira. I lost all of my hair after taking Entyvio, but it was several months later. Humira didn't work at all, so they put me back on Entyvio. Almost 15 months later. It didn't work at all and made the diarrhea even worse. Besides that, I didn't notice side effects. Well, several months later all of my hair fell out again and after a year it still hasn't grown back. It might be worth trying if it is a last resort but I wish I never tried it because I had no curative results or relief and I am so depressed that I am a bald woman. They need to let people know that permanent hair loss is a possible side effect of Entyvio. They push these drugs to market so fast that people are basically guinea pigs and long term side effects are not revealed until years later.",Entyvio (vedolizumab) , Ulcerative Colitis
445,Entyvio (vedolizumab) for Crohn's Disease,8.0,"My Crohn's was diagnosed in 1978.
Started Entyvio in June 2019. Have had the 3 loading doses and am now on the 8-week infusion schedule.
Although my Crohn's symptoms have abated, I am experiencing unpleasant side effects: constant join pain especially in the neck and shoulders; severe headaches; blurred vision; cuts not healing; hot flashes; chills.
Not happy about the side effects but they are better than the severe abdominal pain and diarrhea.",Entyvio (vedolizumab) , Crohn's Disease
446,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,"I was diagnosed with ulcerative colitis at the age of 6. I'm 23 now. . I was started on Entyvio back in October, it took a while for the effects to really start helping me get over this flare-up. But it's well worth it. I feel alive again, and not just like a ghost who haunts the bathroom. 
The side effects are a little annoying, like living in a constant state of stuffy/runny nose, sneezing, headaches and the FATIGUE. The day of the infusion I will fall asleep immediately and sleep most of the day, and for the rest of the week I deal with it. At my most recent appointment, my doctor said I had color to my face and I seemed a lot more alive.",Entyvio (vedolizumab) , Ulcerative Colitis
447,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,"I was referred to try Entyvio shortly into 2018 after being switched off Humira (taking 2 shots weekly). I had tried a majority of products on the market as of that time and it usually worked for a short period. You do feel some symptoms immediately after the infusion, primarily total fatigue and you usually sleep the rest of the day...or at least I do. Overall, the drug has done wonders for me as of lately. You still really need to watch what you eat, and restrain yourself from alcohol, but it’s worth it. I put back on the weight I lost from flare up and feel great.",Entyvio (vedolizumab) , Ulcerative Colitis
448,Entyvio (vedolizumab) for Ulcerative Colitis,,"I've been on Entyvio for 2 years for ulcerative colitis. Before that, I almost died from  being Septic. I tried Humira after that and I almost died of heart failure. Finally they put me on Entyvio. A miracle drug for me! I'm in 98% remission, having infusions every 4 weeks. My side effects are itching all over.. I started taking Vitamin E and it solved the itching. I have 2 choices, always running to the bathroom and not having a normal life, or keep taking this Life changing drug. I choose a better life with Entyvio.",Entyvio (vedolizumab) , Ulcerative Colitis
449,Entyvio (vedolizumab) for Crohn's Disease,9.0,I started Entyvio about 8 weeks ago for fairly severe Crohn's Disease. I have to say I have felt significantly better than I have in years and each week has yielded better symptom relief. Significantly less urgency and trips to the bathroom overall. I don't love the IV infusion route but the results have been worth it to me. I am hoping the at home self administered injections gets released later this year to eliminate the infusion inconveniences. Far better than Humira or Stelara worked for me and with less side effects.,Entyvio (vedolizumab) , Crohn's Disease
450,Entyvio (vedolizumab) for Ulcerative Colitis,5.0,"I have had UC since 2009. I have tried messalizine, imuran, remicade (for 4  months in 2013 after which I developed antibodies so had to stop) and entyvio (aug 2019 -nov 2019).   I tried entyvio in August 2019 after a stint in hospital in June 2019.  By 3rd infusion joint pains were unbearable so after 4 infusions I stopped.  In that time entyvio did help my symptoms by maybe 30 %. I shed hair on entyvio but it has recovered now. 6 months since my last infusion of entyvio  i still suffer horrible pains in wrists, ankles, fingers, elbows at all times of day and night. Usually one side only sometimes both sides equally.  The bones in my elbows hurt as though they have been badly bruised or someone took a hammer to them. I am waiting for test results to see if I have developed antibodies the same as i did with infliximab.",Entyvio (vedolizumab) , Ulcerative Colitis
451,Entyvio (vedolizumab) for Crohn's Disease,1.0,"My husband started entyvio a year ago at the recommendation of a new GI doctor. 4 months ago he got Giardia, two weeks ago he got Shegella. He is now in the worst crohns flare of his life. The GI doctor at the local hospital said based on the amount of inflammation this drug has never worked.  Don’t try this drug!  Doctors are only interested in the amount of kickback they are getting from the drug company.",Entyvio (vedolizumab) , Crohn's Disease
452,Entyvio (vedolizumab) for Crohn's Disease,5.0,"Started Entyvio for Crohn's disease (CD)- first drug I had tried. It worked very slowly, but I did experience slight improvement. Made it to my 3rd dose. Within 9 mins of my drip for my 3rd dose my throat closing, face got very hot turned bright red, heart beat went faint and had the sensation of passing out (maybe I did, don’t remember it all). Definitely felt like I was dying. 911 had to be called. 
2-3 hrs after the second dose I had the same reaction at home with heavy palpitations, but it would come and go. 
First dose I had a really weird sore throat.",Entyvio (vedolizumab) , Crohn's Disease
453,Entyvio (vedolizumab) for Crohn's Disease,1.0,"Never again..severe allergic reaction to 2nd Entyvio iv.  I've had Crohn's for 30 years and taken many different meds. I was recently diagnosed with liver cirrhosis F4 and had to stop methotrexate. I also take Apriso. My GI dr said I should start Entyvio. First infusion went fine. 2 weeks later I had my 2nd infusion. Within 2-3 minutes my chest tightened, throat started closing up, my face got extremely hot and throbbing and was swelling quickly.  The whites of my eyes turned completely blood red. The IV was immediately stopped and flushed with saline. Tried again with med going in slower. Immediately I started having the same symptoms. 3 weeks later I was given my first iv infusion of Stelara. Within 1 minute of the IV being started I had the same reactions but worse. I thought I was going to die. I refuse to take any more iv's.",Entyvio (vedolizumab) , Crohn's Disease
454,Entyvio (vedolizumab) for Crohn's Disease,10.0,I was hesitant to try this drug because of the reviews on this site.  I'm not sure why I put more more faith into the reviews here than my Doctor's and son's advice.  I finally tried the drug and it saved my life.,Entyvio (vedolizumab) , Crohn's Disease
455,Entyvio (vedolizumab) for Ulcerative Colitis,,I been taking entyvio  for year now and I am doing great I had uc (ulcerative colitis to 22 yrs now. I have been every medicine out nothing work for long but with this medicine I’m fine. The only side effect I experience is fatigue and a rash once in a while but I love this medicine I feel human again,Entyvio (vedolizumab) , Ulcerative Colitis
456,Entyvio (vedolizumab) for Ulcerative Colitis,,I was diagnosed with Ulcerative colitis (UC) 22 years ago. I was on medicines including ASACOL until I reached a remission that lasted for seven years and I thought I got back to normal and a flare up would never happen again until the last 7 months when I had the surprising flare and after the colonoscopy the doctor prescribed Prednisone and I took it for 3 months where I got better but with many side effects and they then said must continue with Humira as cortisone medicines must not be taken for so long. I started humira and had 7 injections with no improvement until they decided I should change to Entyvio on 24/01/2020 was my first infusion and until now my flare up is getting worse with no improvement and i feel so sick with severe abdominal pain and many bathroom visits a day..,Entyvio (vedolizumab) , Ulcerative Colitis
457,Entyvio (vedolizumab) for Crohn's Disease,9.0,"I have had IBD (Crohn's) for 15 years.  Flares only controlled by prednisone.  Failed Imuran and 6mp with pancreatitis. Had limited success with Uceris but no great inflammation control. Melsalamine never helped much. Got a new G.I. and he suggested Entyvio after a colonoscopy showed inflammation.  Former G.I. was hesitant to use biologics but I really was ready to try something new.  
I have had three induction I.V.s.  The I.V. is very easy.  I live close to the doctor's office and I am in and out less than 35 minutes. The only possible side effects are a scratchy throat and some mild itchy skin.  Both of these things could be unrelated.
The nurse warned my Entyvio is slow to take effect but I *believe* it is working for me.  My inflammation is greatly decreased and my guts have healed.  
So...if you are struggling with IBD and the doctor suggests this drug I would recommend trying it.",Entyvio (vedolizumab) , Crohn's Disease
458,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"After 6 days of my first  Entyvio infusion I was symptom free.  My hair had definitely thinned, I don’t care, I feel alive again.  I have been on for 8 months.  Life saving for me.  I’m 63 recently diagnosed.  Tired after infusion, take 2 Benadryl and go to bed!",Entyvio (vedolizumab) , Ulcerative Colitis
459,Entyvio (vedolizumab) for Ulcerative Colitis,5.0,"I am due for my 4th injection of Entyvio in a few days. Towards the end of the 2nd infusion I started to feel worn out. Thought it must mean my body is in need of the 3rd. Since the 3rd infusion I have been suffering with chronic fatigue. It is debilitating which in turn messes with your mental health. Entyvio has almost eliminated my UC symptoms but at the price of my quality of life. Also experiencing hair loss & break outs. 
My G.I. Dr says fatigue isn't a thing or a side effect, my case worker at YOURVANTAGE says its a common side effect but to get 4 injections before stopping, my GP says maybe take a drug holiday.....I'm  at a lost as to what to do but leaning towards stopping.",Entyvio (vedolizumab) , Ulcerative Colitis
460,Entyvio (vedolizumab) for Ulcerative Colitis,8.0,"I’ve tried just about everything for Ulcerative colitis (UC) over the last 15 years. Most meds work for a while and then stop. After 12 months of Humira, which helped somewhat but was inconsistent, I started on Entyvio in April 2018. After the first 2 infusions, I felt much better. I was closer to remission than I have been in years after the Week 6 infusion and continued feeling great for about a year.  I’ve started having flares again and my Dr is considering going to more frequent infusions to get me back on track. The only side effect was some joint pain in my hands and wrists. It was severe at times but completely went away once I was on the maintenance doses.",Entyvio (vedolizumab) , Ulcerative Colitis
461,Entyvio (vedolizumab) for Ulcerative Colitis,4.0,"I was on Entyvio for 6 months. I had no symptoms during my loading doses and then it hit me like a rock!
I have episodes of stroke like symptoms. My hands would get sweaty, I get to where I feel like I'm going to pass out, lightheaded,  overall weird feeling. I couldn't even drive to work because of the attacks. Muscle aches, flu like symptoms and chronic sinusitis. Missed several weeks of work from episodes. 
I also developed a rectal abscess. 
I had an MRI to see what's going on and there's signs of minimal damage to my brain!!
I had none of this before ENTIVYO.",Entyvio (vedolizumab) , Ulcerative Colitis
462,Entyvio (vedolizumab) for Ulcerative Colitis,7.0,"I have had UC since 2010. I took Lialda for years then weaned off of it when I moved to Europe for a while. In December 2018, I had my 8 year since diagnosis colonoscopy and my GI couldn't believe I wasn't in the hospital with how inflamed my colon was. I was in pain but I learned to deal with it. Now, 7 months after starting Entyvio, I am wondering if the side effects are worth it. My colon is definitely better but I am constantly tired, my bones hurt, and I always seem to get sick a week or so before every infusion and wonder if I'll even be able to get it. The pain in my joints can be unbearable. I am going to see a rheumatologist to see if they can help me get this under control since my UC is finally in remission.",Entyvio (vedolizumab) , Ulcerative Colitis
463,Entyvio (vedolizumab) for Crohn's Disease,,"I had first dose of Entyvio 2/19/18.  I've had 3 doses so far.  I will not be having any more.  I  felt better before I started Entyvio.  I have gained roughly 15 pounds (do not need the extra weight).  Terrible body aches, especially lower back, little pimple like growths over my body, tired all the time.  Nope...this is not for me.",Entyvio (vedolizumab) , Crohn's Disease
464,Entyvio (vedolizumab) for Ulcerative Colitis,4.0,"UC since 2000.  Active working woman.
Was on Mezzavant with no flares for years. 2018: travel around world, got UC flare back home.  Checked for travel disease: NO. Started Entyvio. Intestinal problems gone and colposcopy was A1.  Entyvio side effects kicked in. 
Migraine, burning numbness on feet, hands, lower legs, finger joints popping, difficulty to walk on feet, extreme fatigue. All my data works are OK. IRM  OK. Vit. D  too low but OK now.  
I stop Entyvio NOW after 10 mths. Back on Mezavant with higher dose. 
will see  neurologist but I am sure (and my gen doctor also but not my gastro...) symptoms are linked to Entyvio.

My gen doctor made me keep a journal  daily symptoms 3mths, food,  events, medication. Shows clearly curves of migraine, fatigue and numbness getting really high for 14-20 days AFTER  injection and  staying low for the rest of 8 weeks. And back up again. can’t continue with  side effects.",Entyvio (vedolizumab) , Ulcerative Colitis
465,Entyvio (vedolizumab) for Crohn's Disease,1.0,"Entyvio caused a lot of pain to my body.  My joints started popping out of place. Started with my toes popping out of socket, I would have to pop them back in a couple times a day for over a month. My hip dislocated, shoulder, fingers, and jaw pop out of socket. I had hundreds of knots form in my back. I ended up being hospitalized for several days due to a partial bowel blockage, this was several months after starting Entyvio so it should've been fully built up in my system.  Entyvio was absolutely terrible in all aspects for me and I would never recommend it for anyone.  Don't waste your time, money, and health it.",Entyvio (vedolizumab) , Crohn's Disease
466,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"Entyvio saved my life, both social and physical. I went through Lialda, Uceris, Prednisone, Canasa, and so on! These drugs could only help the upper portion of my colon, but not my proctitis, pain, urgency, and tenesmus. Entyvio worked for me!! Symptom free after ONE dose :) Going in my 4th dose.",Entyvio (vedolizumab) , Ulcerative Colitis
467,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,"I used entyvio for around 9 months for ulcerative Colitis. Not only did I lose ALL of my hair, 2 years later it has not grown back. I am bald on the top right and entire back of my head. I also lost my eyebrow hair and leg hair. I had no results with this drug and now I am devastated and depressed from being permanently bald.",Entyvio (vedolizumab) , Ulcerative Colitis
468,Entyvio (vedolizumab) for Ulcerative Colitis,8.0,Was on verge of having colon removed having tried humira and other treatments with no relief.  After 3 months on Entyvio started to get results. Symptoms are reduced but not eliminated. Quality of life is much improved. Have been on it over two years.,Entyvio (vedolizumab) , Ulcerative Colitis
469,Entyvio (vedolizumab) for Crohn's Disease,1.0,"I have struggled with Crohn's disease for many years. I have been able to lead a normal life with Remicade IV every 8 weeks was the best med. for me until now. Unfortunately, it stopped working. My GI doctor put me on Entyvio. I'm on my second dose and not happy. I'm very concerned. I'm having symptoms that set me back 15 years. I have nausea, vomiting, diarrhea, joint pain, skin lesions, headaches, blurred vision, and fatigue. Had to take off several weeks of work also. I would not recommend this medication. I'm working with my doctor now for a new plan.",Entyvio (vedolizumab) , Crohn's Disease
470,Entyvio (vedolizumab) for Ulcerative Colitis,3.0,"I have had UC for over 10 years. Was taking Asacol, which worked for years, then stopped working.  I have been on Entyvio for 6 months. It has helped my UC, but after a couple months of treatment, my knees were swelling. I am having so much pain in my knees now, I have trouble walking. I am stopping Entyvio, it’s not worth crippling myself.",Entyvio (vedolizumab) , Ulcerative Colitis
471,Entyvio (vedolizumab) for Crohn's Disease,,"Started entyvio because Dr said Humira wasn’t controlling my disease based on my last colonoscopy, even though I felt great! A month later I had a flare and was in the hospital. 5 months after the first infusion my hair started to fall out as if I was receiving chemo! Then I put on 20 pounds and can’t lose it to save my life. Now I’m  constipated all the time. And as if this wasn’t enough, the insistent itching began along with the coughing and sneezing. Dr got tired of hearing me complain and did another scope and my intestines are worse than they were before! Going to try Stelara next. Unfortunately, entyvio stays in the system for ages.",Entyvio (vedolizumab) , Crohn's Disease
472,Entyvio (vedolizumab) for Crohn's Disease,2.0,"I have been on Entyvio for 13 months. It doesn't seem to be helping the diarrhea or urgency.  I am fatigued, all the time. I am having LOTS of joint pain and weakness (fingers, wrists, toes, ankles, knees.)  I trip/fall because my ankles roll, I drop things because my fingers won't keep a grasp. I have been tested for RA - negative.  I don't think it is working, but my GI wants to try infusing every 4 weeks instead of every 8 weeks.  To me Entyvio is not worth the side effects.",Entyvio (vedolizumab) , Crohn's Disease
473,Entyvio (vedolizumab) for Ulcerative Colitis,5.0,I just wanted to write to thank everyone for their feedback and advice. My gut feeling was to not go in this even though drs told me entyvio Is the best safest thing (apparently not ). I have a friend who's decided to go on it about 3 infusions now and not well.  Severe joint pain and sore bones throughout as well as dealing with rash and possible other autoimmune conditions that have not been verified yet if it's drug related.  All symptoms are since being on Entyvio.   I'm so glad that I followed my instincts and not the drug's/Dr.   Hoping for some better options that are safer for all of us !,Entyvio (vedolizumab) , Ulcerative Colitis
474,Entyvio (vedolizumab) for Ulcerative Colitis,10.0,"This is the first UC drug that I've seen an immediate and significant improvement from. It has given me my life back. After a nasty flare over a long period of time, Entyvio had me feeling better within the first few weeks. I have been in remission for over a year taking this every 8 weeks, this is the longest remission streak I've ever had since being diagnosed 15 years ago. 

For a day or two after the infusion I am VERY tired, have some joint pain and headaches, but they are relatively mild compared to a UC flare. I also find if I am sufficiently hydrated before and after the infusion the side effects are far less severe.",Entyvio (vedolizumab) , Ulcerative Colitis
475,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"DO NOT TAKE ENTYVIO!!! That is of course unless you want your immune system to shut down and be unable to fight off even the littlest common cold. Not to mention the crazy amount of debilitating side-effects. Headaches, sore muscles, major fatigue, restless leg syndrome, feeling like you want to throw up out of the blue, back pain and coughing.  Oh and IF you do happen to get a cold while you're already experiencing these side effects, you might as well times the pain by 3 and prepare for a very long recovery as your body is too weak to fight off any disease.

As for my colitis symptoms..??  Entyvio almost TRIPLED my symptoms!!  CONSTANT diarrhea, NON-STOP abdominal discomfort and literally you are up all night.  AVOID BY ALL MEANS!",Entyvio (vedolizumab) , Ulcerative Colitis
476,Entyvio (vedolizumab) for Ulcerative Colitis,9.0,"Entyvio has been a miracle for me! I had ulcerative proctitis that spread & my symptoms were terrible especially in the morning & were causing me depression, fear, & withdrawal from people.
Within 2 IV doses I noticed a profound reduction of all symptoms. Right now I am 95% symptom free.
I have not had any side effects except noticeable hair loss. I’m not sure if the hair loss is from the prednisone I was taking for 3-4 months until a week before I started Entyvio.",Entyvio (vedolizumab) , Ulcerative Colitis
477,Entyvio (vedolizumab) for Crohn's Disease,5.0,I have been on it for a little over 1 year.My crohns is better but I now have Severe Liver disease.I had a ct scan 10 months ago with mild fatty liver.A recent ct scan revealed Severe Liver disease.I am so annoyed! Be sure to ask questions and do your research.I would have rather lived with crohns than with a ruined liver!,Entyvio (vedolizumab) , Crohn's Disease
478,Entyvio (vedolizumab) for Ulcerative Colitis,1.0,"I thought Entyvio might have been the next best treatment, after I could no longer take Remicade and Humira. I started the injections in May and my ears started to bleed a week after the injection. After a month on the medication I have full body itching. Lastly, after five months on the medication I am also sneezing have patches of dark red angry rashes that are the size of a silver dollar. I would highly recommend close observation on this medication and speak to your doctor right away when any of these side effects occur. In my case they are only increasing with more exposure.",Entyvio (vedolizumab) , Ulcerative Colitis
479,"Entyvio (vedolizumab) for Crohn's Disease, Maintenance",5.0,"Taking Entyvio every 8th week. Experiencing extreme fatique, tiredness, depression, lack of ""drive""/braintiredness. Sometimes I feel better for the last 2 to 3 weeks of the time-period.

Due to the Covid19 situation I had to wait an additional 2weeks for my dose in April and during this period all these side effects went away.",Entyvio (vedolizumab) ," Crohn's Disease, Maintenance"
480,Entyvio (vedolizumab) for Crohn's Disease,5.0,"The positives: my bowel movements have slowed down considerably. I have not lost weight. Less gut pain and urgency to use toilet.

The negatives: I feel uncomfortably hot sometimes, fatigue (although I have to say I am getting iron infusions because I’m anemic) gas can be bad( take protonix, gasx and Xantac.) Was on prednisone when I started Entyvio. Prednisone is heaven to me, but it is difficult coming down. I am afraid of this very strong drug, but I developed anti-bodies to Humira. Skipped any treatment for weeks, and went into Crohns Hell. (I wanted to stop eating.) No problems during and after injections Did get a mother of a sinus infection when I got last Entyvio injection early. 6 instead of eight weeks. I am having my eight week injection soon. We’ll see. If this one doesn’t agree with me, that will be it.
But, I have to eat at least and not lose weight fast. I can drop 10 lbs just like that when my Crohns is active!",Entyvio (vedolizumab) , Crohn's Disease
481,Entyvio (vedolizumab) for Ulcerative Colitis,3.0,"After being allergic to all mesalamine drugs, remicade, and built up antibodies against Humira I was hopeful after my 4th treatment that I was finally in remission. Then the morning of my 5th treatment I go into the doctors office. About 15 minutes after my IV started I began to feel really light headed. I had a tight chest and my whole body felt heavy. This out of body feeling came over me and I was fixated on one spot of the room. Next thing I know I wake up to EMTs over me saying I had unresponsive pupils with hives. They said I was unresponsive to everyone around..I don't remember anything else until I got to the ER. If you start to feel dizzy-tell the nurse right away! Good luck to everyone.",Entyvio (vedolizumab) , Ulcerative Colitis
482,Entyvio (vedolizumab) for Crohn's Disease,10.0,"Have been on entyvio for well over 2 years. Crohns is under control with last colonoscopy showing significant improvement in large intestine.
Have some pain now and then but nothing to stop me getting on with life.
Only side effect I've experienced is being a little tired in evening after infusion.
Fortunately for me I live in the UK and my treatment is covered by NHS.",Entyvio (vedolizumab) , Crohn's Disease
483,Entyvio (vedolizumab) for Crohn's Disease,10.0,"Have been on entyvio for over a year,  without question it has saved my life. I struggled on and off for 30 years my last flare up was the worst,  unable to work or function outside the house for 3 years.  After a year I am 100 %  able to work and enjoy a normal life.",Entyvio (vedolizumab) , Crohn's Disease
484,Entyvio (vedolizumab) for Ulcerative Colitis,2.0,"I have only had one infusion of entyvio.
12 hours after the infusion the pain started. 
Severe colic like pain. Shaking and trembling.
Huge swollen legs and feet which diuretics won't help.
Very unsteady on my feet loss of balance and joint pain.
They told me there was practically no side effects of this drug.
I have been deceived.",Entyvio (vedolizumab) , Ulcerative Colitis
485,Entyvio (vedolizumab) for Ulcerative Colitis,8.0,"Neurologist told me Humira caused my chronic daily migraines so GI switched to Entyvio. I was already in remission due to Humira and 6 months later on Entyvio continue to be doing fine.  Other than a scratchy throat for the first couple of days after the infusion (and migraines gone!) I have experienced no other side effects. So far I am happy, however once I’ve been on it several years without a flare will truly determine if it is working.",Entyvio (vedolizumab) , Ulcerative Colitis
